RAW: 0x3fd, VOLTS: 0.822583 V
RAW: 0x294, VOLTS: 0.531738 V
RAW: 0x167, VOLTS: 0.289233 V
RAW: 0x096, VOLTS: 0.120850 V
RAW: 0x01e, VOLTS: 0.024170 V
RAW: 0x013, VOLTS: 0.015308 V
RAW: 0x069, VOLTS: 0.084595 V
RAW: 0x121, VOLTS: 0.232837 V
RAW: 0x22f, VOLTS: 0.450366 V
RAW: 0x38d, VOLTS: 0.732349 V
RAW: 0x512, VOLTS: 1.045752 V
RAW: 0x6c9, VOLTS: 1.399439 V
RAW: 0x880, VOLTS: 1.753125 V
RAW: 0xa32, VOLTS: 2.102783 V
RAW: 0xba9, VOLTS: 2.404907 V
RAW: 0xcf2, VOLTS: 2.669971 V
RAW: 0xdf3, VOLTS: 2.877026 V
RAW: 0xe98, VOLTS: 3.009961 V
RAW: 0xed1, VOLTS: 3.055884 V
RAW: 0xeab, VOLTS: 3.025269 V
RAW: 0xe1f, VOLTS: 2.912476 V
RAW: 0xd37, VOLTS: 2.725561 V
RAW: 0xbfa, VOLTS: 2.470166 V
RAW: 0xa7e, VOLTS: 2.164014 V
RAW: 0x8dc, VOLTS: 1.827246 V
RAW: 0x723, VOLTS: 1.471948 V
RAW: 0x571, VOLTS: 1.122290 V
RAW: 0x3d5, VOLTS: 0.790356 V
RAW: 0x271, VOLTS: 0.503540 V
RAW: 0x14d, VOLTS: 0.268286 V
RAW: 0x087, VOLTS: 0.108765 V
RAW: 0x025, VOLTS: 0.029810 V
RAW: 0x016, VOLTS: 0.017725 V
RAW: 0x079, VOLTS: 0.097485 V
RAW: 0x135, VOLTS: 0.248950 V
RAW: 0x24c, VOLTS: 0.473730 V
RAW: 0x3a9, VOLTS: 0.754907 V
RAW: 0x53e, VOLTS: 1.081201 V
RAW: 0x6ef, VOLTS: 1.430054 V
RAW: 0x8ac, VOLTS: 1.788574 V
RAW: 0xa51, VOLTS: 2.127759 V
RAW: 0xbd1, VOLTS: 2.437134 V
RAW: 0xd12, VOLTS: 2.695752 V
RAW: 0xe09, VOLTS: 2.894751 V
RAW: 0xe9e, VOLTS: 3.014795 V
RAW: 0xed7, VOLTS: 3.060718 V
RAW: 0xea1, VOLTS: 3.017212 V
RAW: 0xe0d, VOLTS: 2.897974 V
RAW: 0xd16, VOLTS: 2.698975 V
RAW: 0xbd7, VOLTS: 2.441968 V
RAW: 0xa5b, VOLTS: 2.135815 V
RAW: 0x8b4, VOLTS: 1.795020 V
RAW: 0x6fa, VOLTS: 1.438916 V
RAW: 0x545, VOLTS: 1.086841 V
RAW: 0x3b3, VOLTS: 0.762964 V
RAW: 0x253, VOLTS: 0.479370 V
RAW: 0x138, VOLTS: 0.251367 V
RAW: 0x076, VOLTS: 0.095068 V
RAW: 0x019, VOLTS: 0.020142 V
RAW: 0x019, VOLTS: 0.020142 V
RAW: 0x081, VOLTS: 0.103931 V
RAW: 0x14c, VOLTS: 0.267480 V
RAW: 0x26d, VOLTS: 0.500317 V
RAW: 0x3d0, VOLTS: 0.786328 V
RAW: 0x570, VOLTS: 1.121484 V
RAW: 0x719, VOLTS: 1.463892 V
RAW: 0x8d3, VOLTS: 1.819995 V
RAW: 0xa73, VOLTS: 2.155151 V
RAW: 0xbf8, VOLTS: 2.468555 V
RAW: 0xd30, VOLTS: 2.719922 V
RAW: 0xe18, VOLTS: 2.906836 V
RAW: 0xea8, VOLTS: 3.022851 V
RAW: 0xed1, VOLTS: 3.055884 V
RAW: 0xe9a, VOLTS: 3.011572 V
RAW: 0xdf5, VOLTS: 2.878638 V
RAW: 0xcff, VOLTS: 2.680444 V
RAW: 0xbb8, VOLTS: 2.416992 V
RAW: 0xa35, VOLTS: 2.105200 V
RAW: 0x88a, VOLTS: 1.761182 V
RAW: 0x6cd, VOLTS: 1.402661 V
RAW: 0x519, VOLTS: 1.051392 V
RAW: 0x390, VOLTS: 0.734766 V
RAW: 0x236, VOLTS: 0.456006 V
